Category,Description
Bills,EE
Bills,EE LIMITED
Bills,Nord 
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Groceries,ALDI STORES 
Bills,Nord 
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Bills,EE
Bills,EE LIMITED
Groceries,SAINSBURYS
Groceries,Waitrose
Entertainment,Nord 
Bills,EE
Eating out, Club Mexicana  
Entertainment,ODEON
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Groceries,Pick n Pay
Entertainment,QUICKET  
Holidays,Hotel at Bookingcom 
Eating out,BEYROOTS  
Transport,TfL Travel Charge 
Eating out,BUBBA CAFE
Eating out,BREWHOUSE AND KITCHEN
Eating out,BREWDOG SEVEN DIALS
Eating out,RUYI
Eating out,Ruyi
Eating out,Ruyi
Eating out,DELIVEROO
Transport,TFL TRAVEL 
Transport,TfL Travel Charge 
Groceries,SAINSBURYS
Bills,Council
Eating out,Ship 
Groceries,Woolworths
Shopping,ARGOS  
Transport,TFL TRAVEL 
Shopping,TK MAXX
Personal care,SUPERDRUG STORES 
Transport,trainline
Eating out,Food
Shopping,adidas  Limited 
Groceries,SAINSBURYS
Transport,TFL TRAVEL 
Bills,Council Tax
Transport,TFL TRAVEL 
Groceries,Woolies Dash  
Groceries,SAINSBURYS
Transport,trainline
Groceries,SAINSBURYS
Transport,TfL Travel Charge 
Eating out,Yemek Café
Eating out,DELIVEROO
Groceries,Woolies Dash
Eating out,Yemek Café
Eating out,Deliveroo
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Groceries,WAITROSE
Eating out,GREGGS
Groceries,MS
Entertainment,PAINTS
Transport,TFL TRAVEL 
Groceries,SAINSBURYS
Transport,trainline
Groceries,CAFEXPRESSOP 
Groceries,SAINSBURYS
Personal care,BOOTS
Personal care,BOOTS
Groceries,SAINSBURYS
Groceries,SAINSBURYS
Personal care,BOOTS
Entertainment,Kings Arms Wandsworth 
Eating out,KFC 
Entertainment,WANDLE  
Eating out,THE EARLSFIELD
Transport,TfL Travel Charge 
Groceries,TESCO PFS 
Entertainment,BOXOFFICECO
Transport,TFL TRAVEL 
