Category,Description
Bills,EE LONDON BALHAM       BALHAM        GBR
Bills,EE LIMITED             HATFIELD      GBR
Bills,cNord                  VPNcom        GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,ALDI STORES LTD        BALHAM        GBR
Bills,cNord\Beulah Hill\VPNcom\SE19 3HF  GBRGBR
Bills,EE LONDON BALHAM       BALHAM        GBR
Bills,EE LIMITED             HATFIELD      GBR
Bills,EE LONDON BALHAM       BALHAM        GBR
Bills,EE LIMITED             HATFIELD      GBR
Bills,EE LONDON BALHAM       BALHAM        GBR
Bills,EE LIMITED             HATFIELD      GBR
Bills,EE LONDON BALHAM       BALHAM        GBR
Bills,EE LIMITED             HATFIELD      GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,Waitrose
Entertainment,SM.NORD* PRODUCTS      +441172302333 GBR
Bills,EE TOPUP  VESTA        EE.CO.UK      GBR
Eating out,iZ *Club Mexicana Ltd  Manchester    GBR
Entertainment,ODEON                  LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,Pick n Pay
Entertainment,QUICKET                Cape Town     ZAF
Holidays,Hotel at Booking.com   Cambridge     GBR
Eating out,BEYROOTS LTD       New Malden    GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,BUBBA CAFE             LONDON        GBR
Eating out,BREWHOUSE AND KITCHEN  LONDON        GBR
Eating out,BREWDOG SEVEN DIALS    LONDON        GBR
Eating out,RUYI                   LONDON        GBR
Eating out,Ruyi
Eating out,Ruyi
Eating out,DELIVEROO              +442036999977 GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Groceries,SAINSBURYS             LONDON        GBR
Bills,A-E9AB9D28-001
Eating out,Ship                   London        GBR
Groceries,Woolworths
Shopping,ARGOS LTD              MILTON KEYNES GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Shopping,TK MAXX                LONDON        GBR
Personal care,SUPERDRUG STORES PLC   BALHAM        GBR
Transport,thetrainline.com       +443332022222 GBR
Eating out,Food
Shopping,adidas (UK) Limited    Stockport     GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Bills,Council Tax
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,Woolies Dash           Cape Town     ZAF
Groceries,SAINSBURYS             LONDON        GBR
Transport,thetrainline.com       +443332022222 GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,TfL Travel Charge      TFL.gov.uk/CP GBR
Eating out,Yemek Cafe BR Restaura Westcliff-on- GBR
Eating out,DELIVEROO              +442036999977 GBR
Groceries,Woolies Dash\32 STRELITZIA EMERALD BOULEVA\EDENVALE\1609         ZAF
Eating out,Yemek Cafe Br Restaura
Eating out,Deliveroo
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,WAITROSE               BALHAM        GBR
Eating out,GREGGS                 BALHAM        GBR
Groceries,M&S
Entertainment,BALHAM PAINTS          LONDON        GBR
Transport,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR
Groceries,SAINSBURYS             LONDON        GBR
Transport,thetrainline.com       +443332022222 GBR
Groceries,CAFEXPRESSOP           BANBURY       GBR
Groceries,SAINSBURYS             LONDON        GBR
Personal care,BOOTS 0871             BALHAM        GBR
Personal care,BOOTS 0871             BALHAM        GBR
Groceries,SAINSBURYS             LONDON        GBR
Groceries,SAINSBURYS             LONDON        GBR
Personal care,BOOTS 0871             BALHAM        GBR
Entertainment,King's Arms Wandsworth London        GBR
Eating out,KFC EARLSFIELD         LONDON        GBR
